x1,x2,out
3.745401188473625,6.981617140197452,"[0.0, 1.0]"
9.50714306409916,5.360963663441204,"[1.0, 0.0]"
7.319939418114051,3.0952761628632777,"[1.0, 0.0]"
5.986584841970366,8.137950197069486,"[1.0, 0.0]"
1.5601864044243652,6.847311725538793,"[0.0, 1.0]"
1.5599452033620265,1.626169393448913,"[1.0, 0.0]"
0.5808361216819946,9.109271844938425,"[0.0, 1.0]"
8.661761457749352,8.22537242923169,"[1.0, 0.0]"
6.011150117432088,9.49799913291924,"[1.0, 0.0]"
7.080725777960454,7.2571950838836,"[1.0, 0.0]"
0.2058449429580244,6.134151959357899,"[0.0, 1.0]"
9.699098521619945,4.182430362906189,"[1.0, 0.0]"
8.324426408004218,9.327284833540132,"[1.0, 0.0]"
2.1233911067827616,8.660638895004084,"[0.0, 1.0]"
1.8182496720710064,0.452186701061894,"[1.0, 0.0]"
1.8340450985343384,0.26366974497252,"[1.0, 0.0]"
3.042422429595377,3.764633668780496,"[1.0, 0.0]"
5.247564316322379,8.105533307818328,"[1.0, 0.0]"
4.319450186421157,9.872761293149445,"[0.0, 1.0]"
2.91229140198042,1.5041689110352818,"[1.0, 0.0]"
6.118528947223795,5.941307153521351,"[1.0, 0.0]"
1.3949386065204183,3.8089085663102153,"[1.0, 0.0]"
2.921446485352181,9.699143978146031,"[0.0, 1.0]"
3.663618432936917,8.421189231357086,"[0.0, 1.0]"
4.56069984217036,8.383287047111379,"[0.0, 1.0]"
7.851759613930136,4.686931597949703,"[1.0, 0.0]"
1.9967378215835971,4.148195023376652,"[1.0, 0.0]"
5.142344384136116,2.7340707193070624,"[1.0, 0.0]"
5.924145688620425,0.5637549665092711,"[1.0, 0.0]"
0.4645041271999772,8.647223762550531,"[0.0, 1.0]"
6.075448519014383,8.129010091300776,"[1.0, 0.0]"
1.7052412368729153,9.997176732861304,"[0.0, 1.0]"
0.6505159298527952,9.966368370739056,"[0.0, 1.0]"
9.488855372533331,5.5543170560262745,"[1.0, 0.0]"
9.656320330745594,7.689874151805105,"[1.0, 0.0]"
8.08397348116461,9.44765729882428,"[1.0, 0.0]"
3.046137691733706,8.496473906774115,"[0.0, 1.0]"
0.9767211400638388,2.4734810174319763,"[1.0, 0.0]"
6.842330265121569,4.505441353100935,"[1.0, 0.0]"
4.4015249373960135,1.2915941515149498,"[1.0, 0.0]"
1.2203823484477885,9.540510272587223,"[0.0, 1.0]"
4.951769101112702,6.0617463445088005,"[0.0, 1.0]"
0.3438852111521839,2.2864280550346274,"[1.0, 0.0]"
9.09320402078782,6.717006844058568,"[1.0, 0.0]"
2.587799816000169,6.181282404578958,"[0.0, 1.0]"
6.62522284353982,3.5816271803284048,"[1.0, 0.0]"
3.1171107608941098,1.1355759219962902,"[1.0, 0.0]"
5.200680211778108,6.715731955927996,"[1.0, 0.0]"
5.4671027934327965,5.2030770090379335,"[1.0, 0.0]"
1.8485445552552704,7.723183917356393,"[0.0, 1.0]"
